timestamp,pressao
0,1409
1,1593
2,1593
3,1593
4,1593
5,1593
6,1593
7,1593
8,1593
9,1593
10,1593
11,1593
12,1621
13,1745
14,1881
15,1881
16,1881
17,1881
18,1881
19,1973
20,1973
21,1973
22,1973
23,1973
24,1973
25,2001
26,2001
27,2001
28,2001
29,2001
30,2001
31,2001
32,2001
33,2001
34,2001
35,2001
36,2001
37,2001
38,2001
39,2001
40,2001
41,2001
42,2001
43,2001
44,2050
45,2050
46,2050
47,2050
48,2050
49,2050
50,2050
51,2050
52,2050
53,2050
54,2138
55,2138
56,2138
57,2138
58,2138
59,2138
60,2138
61,2138
62,2138
63,2138
64,2138
65,2186
66,2214
67,2214
68,2214
69,2214
70,2214
71,2214
72,2214
73,2214
74,2214
75,2214
76,2214
77,2214
78,2246
79,2322
80,2322
81,2322
82,2322
