timestamp,pressao
0,2518
1,2518
2,2518
3,2518
4,2518
5,2518
6,2518
7,2518
8,2518
9,2518
10,2654
11,2654
12,2654
13,2654
14,2654
15,2654
16,2654
17,2654
18,2686
19,2714
20,2714
21,2714
22,2714
23,2714
24,2730
25,2730
26,2746
27,2774
28,2774
29,2774
30,2774
31,2774
32,2774
33,2774
34,2774
35,2774
36,2774
37,2774
38,2774
39,2774
40,2774
41,2774
42,2774
43,2898
44,2898
45,2898
46,2898
47,2898
48,2898
49,2898
50,2898
51,2898
52,2898
53,2898
54,2898
55,2898
56,2898
57,2898
58,2898
59,2898
60,2986
61,2986
62,2986
63,2986
64,2986
65,2986
66,2986
67,2986
68,2986
69,2986
70,2986
71,2986
72,2986
73,2986
74,2986
75,3126
76,3246
77,3290
78,3290
79,3290
80,3290
81,3290
82,3350
83,3350
84,3350
85,3350
86,3350
87,3350
88,3350
89,3350
90,3350
91,3459
92,3579
93,3579
94,3579
95,3579
96,3715
97,3763
98,3763
99,3763
100,3851
101,3851
102,3851
103,3927
104,4063
105,4063
106,4063
107,4063
108,4095
109,4095
110,4095
111,4095
112,4095
113,4095
114,4095
115,4095
116,4095
117,4095
