timestamp,pressao
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,256
14,592
15,592
16,592
17,592
18,592
19,592
20,592
21,592
22,532
23,532
24,532
25,532
26,532
27,532
28,532
29,532
30,532
31,636
32,636
33,636
34,636
35,636
36,636
37,636
38,636
39,636
40,636
41,636
42,636
43,636
44,636
45,636
46,636
47,713
48,713
49,713
50,757
51,757
52,757
53,757
54,757
55,757
56,757
57,757
58,757
59,757
60,757
61,757
62,757
63,757
64,757
65,757
66,757
67,881
68,925
69,925
70,925
71,925
72,925
73,925
74,925
75,969
76,969
77,969
78,969
79,969
80,969
81,969
82,969
83,969
84,969
85,969
86,1001
87,1001
88,1001
89,1001
90,1001
91,1001
92,1001
93,1001
94,1001
95,1001
96,1001
97,1001
98,1033
99,1033
100,1033
101,1033
102,1033
103,1033
104,1077
105,1185
106,1185
107,1185
108,1185
109,1185
110,1185
111,1185
112,1185
113,1185
114,1185
